close,datetime,exchange_code,high,low,open,stock_code,volume
18023.95,2021-11-08 13:23:00,NSE,18024.5,18014.75,18014.85,NIFTY,639227
18030.6,2021-11-08 13:24:00,NSE,18030.6,18024.0,18024.85,NIFTY,489078
18022.35,2021-11-08 13:25:00,NSE,18030.8,18020.85,18029.65,NIFTY,619885
18023.2,2021-11-08 13:26:00,NSE,18027.9,18023.0,18023.0,NIFTY,725865
18021.2,2021-11-08 13:27:00,NSE,18024.5,18016.25,18022.65,NIFTY,754726
18021.95,2021-11-08 13:28:00,NSE,18024.2,18018.3,18020.75,NIFTY,539344
18026.4,2021-11-08 13:29:00,NSE,18027.15,18022.1,18022.1,NIFTY,529070
18021.15,2021-11-08 13:30:00,NSE,18027.45,18020.05,18026.55,NIFTY,696225
18016.3,2021-11-08 13:31:00,NSE,18021.85,18014.35,18020.55,NIFTY,341392
18024.55,2021-11-08 13:32:00,NSE,18027.85,18016.55,18016.55,NIFTY,1013858
18033.2,2021-11-08 13:33:00,NSE,18035.35,18022.95,18025.35,NIFTY,857820
18034.6,2021-11-08 13:34:00,NSE,18034.9,18028.45,18034.65,NIFTY,523245
18026.35,2021-11-08 13:35:00,NSE,18037.0,18025.75,18034.55,NIFTY,733421
18011.7,2021-11-08 13:36:00,NSE,18026.0,18007.7,18026.0,NIFTY,869868
18015.05,2021-11-08 13:37:00,NSE,18016.2,18009.75,18010.55,NIFTY,488983
18014.65,2021-11-08 13:38:00,NSE,18017.1,18012.15,18014.5,NIFTY,396879
18020.1,2021-11-08 13:39:00,NSE,18021.55,18014.35,18015.2,NIFTY,403979
18015.7,2021-11-08 13:40:00,NSE,18021.35,18015.7,18018.05,NIFTY,455927
18020.1,2021-11-08 13:41:00,NSE,18020.15,18012.15,18015.65,NIFTY,428131
18023.35,2021-11-08 13:42:00,NSE,18028.15,18020.85,18020.95,NIFTY,871373
18033.3,2021-11-08 13:43:00,NSE,18033.3,18024.65,18024.65,NIFTY,795808
18062.25,2021-11-08 13:44:00,NSE,18062.6,18033.0,18033.0,NIFTY,1349068
18056.4,2021-11-08 13:45:00,NSE,18063.65,18052.85,18062.75,NIFTY,892445
18052.5,2021-11-08 13:46:00,NSE,18057.55,18050.1,18056.9,NIFTY,586601
18057.7,2021-11-08 13:47:00,NSE,18061.1,18051.75,18052.75,NIFTY,652536
18061.75,2021-11-08 13:48:00,NSE,18064.85,18058.5,18058.5,NIFTY,582323
18056.7,2021-11-08 13:49:00,NSE,18062.8,18054.75,18061.4,NIFTY,683172
18059.05,2021-11-08 13:50:00,NSE,18060.3,18055.9,18057.25,NIFTY,541765
18051.45,2021-11-08 13:51:00,NSE,18058.65,18051.45,18058.6,NIFTY,407137
18047.1,2021-11-08 13:52:00,NSE,18052.15,18044.7,18051.9,NIFTY,557785
18052.65,2021-11-08 13:53:00,NSE,18053.75,18043.75,18047.65,NIFTY,671696
18057.15,2021-11-08 13:54:00,NSE,18057.95,18052.0,18052.1,NIFTY,831397
18054.3,2021-11-08 13:55:00,NSE,18056.95,18052.8,18056.95,NIFTY,706488
18053.65,2021-11-08 13:56:00,NSE,18054.1,18048.0,18053.0,NIFTY,657148
18049.25,2021-11-08 13:57:00,NSE,18053.95,18047.05,18053.2,NIFTY,593312
18048.45,2021-11-08 13:58:00,NSE,18050.0,18042.45,18048.85,NIFTY,488013
18053.8,2021-11-08 13:59:00,NSE,18055.55,18047.45,18047.45,NIFTY,540280
18057.75,2021-11-08 14:00:00,NSE,18060.5,18054.6,18054.6,NIFTY,851751
18051.5,2021-11-08 14:01:00,NSE,18057.55,18049.4,18057.55,NIFTY,396351
18065.95,2021-11-08 14:02:00,NSE,18066.75,18051.45,18051.55,NIFTY,621331
18073.0,2021-11-08 14:03:00,NSE,18075.2,18065.95,18067.1,NIFTY,1198319
18075.6,2021-11-08 14:04:00,NSE,18075.6,18069.55,18073.6,NIFTY,981371
18071.7,2021-11-08 14:05:00,NSE,18077.6,18071.5,18075.9,NIFTY,712873
18073.25,2021-11-08 14:06:00,NSE,18075.5,18070.3,18073.3,NIFTY,599257
18075.8,2021-11-08 14:07:00,NSE,18076.05,18072.85,18073.5,NIFTY,633753
18075.6,2021-11-08 14:08:00,NSE,18079.25,18074.9,18076.1,NIFTY,762973
18074.75,2021-11-08 14:09:00,NSE,18077.6,18072.05,18075.8,NIFTY,873708
18073.2,2021-11-08 14:10:00,NSE,18079.85,18073.15,18075.25,NIFTY,770611
18069.15,2021-11-08 14:11:00,NSE,18073.4,18063.3,18073.4,NIFTY,615962
18068.7,2021-11-08 14:12:00,NSE,18073.45,18068.4,18069.4,NIFTY,697557
18069.6,2021-11-08 14:13:00,NSE,18071.6,18067.9,18068.6,NIFTY,491601
18067.3,2021-11-08 14:14:00,NSE,18072.05,18066.95,18069.85,NIFTY,532180
18067.9,2021-11-08 14:15:00,NSE,18077.2,18067.55,18067.55,NIFTY,1378882
18070.65,2021-11-08 14:16:00,NSE,18071.6,18067.45,18068.95,NIFTY,591050
18060.1,2021-11-08 14:17:00,NSE,18071.75,18060.1,18070.75,NIFTY,825462
18065.35,2021-11-08 14:18:00,NSE,18066.4,18055.45,18060.45,NIFTY,799033
18061.8,2021-11-08 14:19:00,NSE,18066.25,18061.0,18066.05,NIFTY,612832
18060.1,2021-11-08 14:20:00,NSE,18064.45,18059.25,18060.55,NIFTY,626847
18064.9,2021-11-08 14:21:00,NSE,18066.45,18059.05,18059.45,NIFTY,531782
18068.85,2021-11-08 14:22:00,NSE,18071.95,18064.6,18065.5,NIFTY,870991
18056.75,2021-11-08 14:23:00,NSE,18068.8,18056.75,18068.4,NIFTY,590769
18064.4,2021-11-08 14:24:00,NSE,18065.15,18056.25,18057.0,NIFTY,657989
18069.0,2021-11-08 14:25:00,NSE,18070.75,18064.95,18065.85,NIFTY,726750
18069.2,2021-11-08 14:26:00,NSE,18071.85,18068.1,18068.8,NIFTY,574593
18064.7,2021-11-08 14:27:00,NSE,18069.9,18063.5,18068.2,NIFTY,1140339
18065.1,2021-11-08 14:28:00,NSE,18070.85,18064.6,18065.45,NIFTY,1045071
18069.55,2021-11-08 14:29:00,NSE,18072.8,18065.7,18066.5,NIFTY,789180
18074.55,2021-11-08 14:30:00,NSE,18078.55,18069.65,18070.25,NIFTY,850400
18072.05,2021-11-08 14:31:00,NSE,18076.15,18071.1,18075.1,NIFTY,628924
18066.5,2021-11-08 14:32:00,NSE,18071.4,18064.6,18071.4,NIFTY,693722
18067.8,2021-11-08 14:33:00,NSE,18068.75,18065.55,18066.7,NIFTY,735836
18064.3,2021-11-08 14:34:00,NSE,18069.2,18064.25,18067.15,NIFTY,851812
18058.85,2021-11-08 14:35:00,NSE,18066.95,18053.85,18065.15,NIFTY,808050
18049.6,2021-11-08 14:36:00,NSE,18058.45,18046.65,18057.85,NIFTY,998528
18053.05,2021-11-08 14:37:00,NSE,18054.25,18043.15,18048.65,NIFTY,637337
18058.45,2021-11-08 14:38:00,NSE,18062.15,18051.25,18053.4,NIFTY,779958
18075.5,2021-11-08 14:39:00,NSE,18075.65,18057.95,18057.95,NIFTY,1114094
18069.4,2021-11-08 14:40:00,NSE,18075.85,18069.4,18075.2,NIFTY,764302
18062.0,2021-11-08 14:41:00,NSE,18070.6,18060.75,18070.6,NIFTY,762356
18065.15,2021-11-08 14:42:00,NSE,18065.8,18060.85,18061.45,NIFTY,561547
18065.1,2021-11-08 14:43:00,NSE,18067.8,18061.15,18066.35,NIFTY,552537
18062.5,2021-11-08 14:44:00,NSE,18067.65,18062.4,18066.7,NIFTY,501014
18060.2,2021-11-08 14:45:00,NSE,18063.3,18054.0,18062.65,NIFTY,600274
18060.25,2021-11-08 14:46:00,NSE,18065.75,18059.65,18060.35,NIFTY,768028
18059.8,2021-11-08 14:47:00,NSE,18062.6,18055.05,18060.5,NIFTY,584928
18059.7,2021-11-08 14:48:00,NSE,18063.25,18058.65,18059.65,NIFTY,595997
18059.9,2021-11-08 14:49:00,NSE,18060.5,18056.65,18059.05,NIFTY,639595
18061.85,2021-11-08 14:50:00,NSE,18073.55,18060.75,18060.75,NIFTY,940629
18061.45,2021-11-08 14:51:00,NSE,18062.6,18053.5,18062.25,NIFTY,761796
18057.55,2021-11-08 14:52:00,NSE,18063.65,18057.55,18061.75,NIFTY,689952
18060.1,2021-11-08 14:53:00,NSE,18060.5,18057.15,18058.8,NIFTY,707483
18055.4,2021-11-08 14:54:00,NSE,18061.7,18053.6,18060.2,NIFTY,681497
18052.75,2021-11-08 14:55:00,NSE,18055.05,18038.6,18055.05,NIFTY,861739
18053.95,2021-11-08 14:56:00,NSE,18055.1,18050.8,18052.1,NIFTY,672916
18055.4,2021-11-08 14:57:00,NSE,18056.65,18051.05,18053.25,NIFTY,930332
18055.5,2021-11-08 14:58:00,NSE,18057.45,18054.6,18056.05,NIFTY,701204
18064.2,2021-11-08 14:59:00,NSE,18064.2,18055.0,18055.0,NIFTY,813511
18070.3,2021-11-08 15:00:00,NSE,18077.65,18062.85,18062.85,NIFTY,1267375
18058.0,2021-11-08 15:01:00,NSE,18069.4,18058.0,18069.4,NIFTY,1050067
